S.No,Sensor No.,Serial No.,Location,Latitude,Longitude,Date of Installation
1,IITK-01,81432131001,Transport Nagar,26.77917,80.885063,13-12-2021
2,IITK-02,81432131016,Jankipuram,26.91520133,80.94217075,11-12-2021
3,IITK-03,81432131006,Nishat Ganj,26.865388,80.954702,11-12-2021
4,IITK-04,81432130003,Aliganj,26.901733,80.951876,11-12-2021
5,IITK-06,81432131013,Kakori,26.51993075,80.23568758,20-12-2021
6,IITK-07,81432130005,Rajendra Nagar-II,26.9043353,80.7653765,23-12-2021
7,IITK-08,81432131007,Charbagh,26.83767,80.934498,23-12-2021
8,IITK-10,81432131005,Husainabad,26.870196,80.904134,23-12-2021
9,IITK-11,81432131015,IITR-Hazratganj,26.85940223,80.93070931,25-12-2021
10,IITK-12,81432131004,Mahanagar,26.882188,80.950551,13-12-2021
11,IITK-13,81432131012,Vrindavan Yojana,26.780629,80.955885,15-12-2021
12,IITK-14,81432130004,"B R Ambedkar University, Lucknow - UPPCB",26.766433,80.927299,25-12-2021
13,IITK-15,81432131011,Aminabad,26.848328,80.923331,13-12-2021
14,IITK16,81432130010,"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90727,80.9852,17-12-2021
15,IITK-17,81432131014,"Gomti Nagar, Lucknow - UPPCB",26.864693,81.004908,15-12-2021
16,IITK-18,81432130008,Lucknow Cantonment,26.820903,80.948628,13-12-2021
17,IITK-19,81432131009,Vipul Khand,26.846359,80.982456,15-12-2021
18,IITK-20,81432131002,Dubagga,26.854684,80.859587,25-12-2021
19,IITK-21,81432147001,Arjunganj,26.80726,80.99811,27-04-2022
20,IITK22,81432147004,Anand Nagar,26.821692,80.920193,26-02-2022
21,IITK23,81432147008,CMS_Kanpur Road,26.789759,80.894295,08-03-2022
22,IITK24,81432147023,Piparsand,26.746663,80.818573,30-04-2022
23,IITK25,81432147033,Kukrail_later_uppcb,26.90727,80.9852,30-03-2022
24,IITK26,81435147034,Talkatora_BPS,26.832976,80.900473,07-05-2022
25,IITK28,81435147036,Telibagh,26.79017,80.95862,27-04-2022
